name_en,name_ru,company,rating_IMDB,rating_metacritic,minutes_long,year,budget,director_ru,director_en
Black Panther: Wakanda Forever,Черная пантера: Ваканда навсегда,Marvel,"6,4",67,161,2022,250,Райан Куглер,Ryan Coogler
Black Adam,Черный Адам,DC,"6,4",41,125,2022,200,Жауме Кольет-Серра,Jaume Collet-Serra
Thor: Love and Thunder,Тор: Любовь и гром,Marvel,"6,3",57,118,2022,250,Тайка Вайтити,Taika Waititi
Doctor Strange in the Multiverse of Madness,Доктор Стрэндж в мультивселенной безумия,Marvel,"6,9",60,126,2022,200,Сэм Рэйми,Sam Raimi
The Batman,Бэтмен,DC,"7,8",72,176,2022,200,Мэтт Ривз,Matt Reeves
Spider-Man: No Way Home,Человек-паук: Нет пути домой,Marvel,"8,2",71,148,2021,200,Джон Уоттс,John Watts
Eternals,Вечные,Marvel,"6,3",52,156,2021,200,Хлоя Чжао,Chloe Zhao
Shang-Chi and the Legend of the Ten Rings,Шан-Чи и легенда о десяти кольцах,Marvel,"7,4",71,132,2021,150,Дестин Дэниел Креттон,Destin Daniel Cretton
The Suicide Squad,Отряд Самоубийц,DC,"7,2",72,132,2021,185,Джеймс Ганн,James Gunn
Black Widow,Черная Вдова,Marvel,"6,7",67,134,2021,200,Кейт Шортланд,Cate Shortland
Zack Snyder's Justice League,Лига справедливости Зака ​​Снайдера,DC,"8,0",54,242,2021,300,Зак Снайдер,Zack Snyder
Wonder Woman 1984,Чудо-женщина 1984,DC,"5,4",60,151,2020,200,Пэтти Дженкинс,Patty Jenkins
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Хищные птицы и Потрясающая история Харли Квинн,DC,"6,0",60,109,2020,"84,5",Кэти Янь,Cathy Yan
Joker,Джокер,DC,"8,7",59,122,2019,55,Тодд Филлипс,Todd Phillips
Spider-Man: Far from Home,Человек-паук: Вдали от дома,Marvel,"7,6",69,129,2019,160,Джон Уоттс,John Watts
Avengers: Endgame,Мстители: Финал,Marvel,"8,5",78,181,2019,356,"Энтони Руссо, Джо Руссо","Anthony Russo, Joe Russo"
Shazam!,Шазам!,DC,"7,1",71,132,2019,100,Дэвид Ф. Сандберг,David F. Sandberg
Captain Marvel,Капитан Марвел,Marvel,"6,9",64,123,2019,175,"Анна Боден, Райан Флек","Anna Boden, Ryan Fleck"
